eta,risk,strategy,minute_index,utc_day,objective_gain_bps,monetary_gain_bps
5.0,0.0,full,26435,20684,0.06412832399284424,0.06412832399284424
5.0,0.0,full,26465,20684,-0.0046057901389487356,-0.0046057901389487356
5.0,0.0,full,26495,20684,-0.005446911168157995,-0.005446911168157995
5.0,0.0,full,26525,20684,-0.0005047827570798585,-0.0005047827570798585
5.0,0.0,full,26555,20684,-0.006104709441001628,-0.006104709441001628
5.0,0.0,full,26585,20684,-0.04561210652708128,-0.04561210652708128
5.0,0.0,full,26615,20684,0.001449503178302623,0.001449503178302623
5.0,0.0,full,26645,20684,0.0028432781236223956,0.0028432781236223956
5.0,0.0,full,26675,20684,0.35238783403065366,0.35238783403065366
5.0,0.0,full,26705,20684,-0.09263655425881732,-0.09263655425881732
5.0,0.0,full,26735,20684,0.20281317336690075,0.20281317336690075
5.0,0.0,full,26765,20684,0.016182699294452606,0.016182699294452606
5.0,0.0,full,26795,20684,-0.05543204517424234,-0.05543204517424234
5.0,0.0,full,26825,20684,0.17924626448942715,0.17924626448942715
5.0,0.0,full,26855,20684,-0.04437027428685897,-0.04437027428685897
5.0,0.0,full,26885,20684,-0.002370562754502983,-0.002370562754502983
5.0,0.0,full,26915,20684,0.040205312476489084,0.040205312476489084
5.0,0.0,full,26945,20684,-0.05753127006071075,-0.05753127006071075
5.0,0.0,full,26975,20684,-0.05854049899951173,-0.05854049899951173
5.0,0.0,full,27005,20684,-0.04525970540104335,-0.04525970540104335
5.0,0.0,full,27035,20684,-0.15716670379275244,-0.15716670379275244
5.0,0.0,full,27065,20684,0.11855954533837544,0.11855954533837544
5.0,0.0,full,27095,20684,0.08682854147761115,0.08682854147761115
5.0,0.0,full,27125,20684,0.006047375253359572,0.006047375253359572
5.0,0.0,full,27155,20684,-0.03969209297309843,-0.03969209297309843
5.0,0.0,full,27185,20684,-0.03373612166108278,-0.03373612166108278
5.0,0.0,full,27215,20684,0.047186527034228126,0.047186527034228126
5.0,0.0,full,27245,20684,0.057279685186570034,0.057279685186570034
5.0,0.0,full,27275,20684,0.056232203455346894,0.056232203455346894
5.0,0.0,full,27305,20684,0.023177933077019174,0.023177933077019174
5.0,0.0,full,27335,20684,0.054940230595603906,0.054940230595603906
5.0,0.0,full,27365,20685,0.24688651317143107,0.24688651317143107
5.0,0.0,full,27395,20685,0.04138429083545071,0.04138429083545071
5.0,0.0,full,27425,20685,0.006846188516658865,0.006846188516658865
5.0,0.0,full,27455,20685,0.2975894028160508,0.2975894028160508
5.0,0.0,full,27485,20685,-0.007609464342673749,-0.007609464342673749
5.0,0.0,full,27515,20685,0.026286218239666145,0.026286218239666145
5.0,0.0,full,27545,20685,-0.004658759492148905,-0.004658759492148905
5.0,0.0,full,27575,20685,0.13886398296421035,0.13886398296421035
5.0,0.0,full,27605,20685,0.023185907508043738,0.023185907508043738
5.0,0.0,full,27635,20685,-0.05788686664363562,-0.05788686664363562
5.0,0.0,full,27665,20685,0.009900573769411556,0.009900573769411556
5.0,0.0,full,27695,20685,0.027245467893786266,0.027245467893786266
5.0,0.0,full,27725,20685,-0.012467627648669143,-0.012467627648669143
5.0,0.0,full,27755,20685,0.13637332398922247,0.13637332398922247
5.0,0.0,full,27785,20685,0.0028716982916789286,0.0028716982916789286
5.0,0.0,full,27815,20685,-0.056189778008831154,-0.056189778008831154
5.0,0.0,full,27845,20685,0.024112730837967996,0.024112730837967996
5.0,0.0,full,27875,20685,0.14322193080610776,0.14322193080610776
5.0,0.0,full,27905,20685,0.0396721989962462,0.0396721989962462
5.0,0.0,full,27935,20685,-0.008469875086112364,-0.008469875086112364
5.0,0.0,full,27965,20685,-0.5241712322571691,-0.5241712322571691
5.0,0.0,full,27995,20685,-0.02221617518855406,-0.02221617518855406
5.0,0.0,full,28025,20685,0.0008034193961361959,0.0008034193961361959
5.0,0.0,full,28055,20685,-0.004639177855880226,-0.004639177855880226
5.0,0.0,full,28085,20685,-0.0066337000979883555,-0.0066337000979883555
5.0,0.0,full,28115,20685,-0.0463156693752377,-0.0463156693752377
5.0,0.0,full,28145,20685,0.00027614514405163644,0.00027614514405163644
5.0,0.0,full,28175,20685,-0.005375019578027977,-0.005375019578027977
5.0,0.0,full,28205,20685,-0.06226741992554498,-0.06226741992554498
5.0,0.0,full,28235,20685,-0.022335167261397153,-0.022335167261397153
5.0,0.0,full,28265,20685,0.012271504200031591,0.012271504200031591
5.0,0.0,full,28295,20685,0.013622502604164411,0.013622502604164411
5.0,0.0,full,28325,20685,0.08809137097247721,0.08809137097247721
5.0,0.0,full,28355,20685,0.055971281974315334,0.055971281974315334
5.0,0.0,full,28385,20685,0.016855163024319844,0.016855163024319844
5.0,0.0,full,28415,20685,-0.005779410514622589,-0.005779410514622589
5.0,0.0,full,28445,20685,-0.03234225433552751,-0.03234225433552751
5.0,0.0,full,28475,20685,0.016297647114202958,0.016297647114202958
5.0,0.0,full,28505,20685,0.006267552219189158,0.006267552219189158
5.0,0.0,full,28535,20685,0.01568246986873257,0.01568246986873257
5.0,0.0,full,28565,20685,0.03664281859820004,0.03664281859820004
5.0,0.0,full,28595,20685,0.022799149849340235,0.022799149849340235
5.0,0.0,full,28625,20685,-0.11684534415878986,-0.11684534415878986
5.0,0.0,full,28655,20685,-0.08563352732023186,-0.08563352732023186
5.0,0.0,full,28685,20685,0.01673930054776397,0.01673930054776397
5.0,0.0,full,28715,20685,0.011402601733199635,0.011402601733199635
5.0,0.0,full,28745,20685,0.028025665189518656,0.028025665189518656
