asset,date,arrival_us,fraction,arm,depletion,arrival_notional,quantity,filled,unfilled,max_backlog,proceeds,fee_dollars,timing_dollars,timing_shortfall_dollars,spread_dollars,depth_dollars,book_cost_dollars,filled_quantity_shortfall_dollars,shortfall_dollars,shortfall_bps
BTC,2021-04-14,1618362300000000,0.2,oracle_price,0,34655.76746247762,0.546496252274266,0.546496252274266,0.0,0.0,34645.168287830405,0.0,-6.618069615039029,6.618069615039029,0.8552666038829652,3.1258384282900806,3.981105032173046,10.599174647206382,10.599174647206382,3.0584157914500922
BTC,2021-04-14,1618362300000000,0.2,oracle_liquidity,1,34655.76746247762,0.5464962522742661,0.5464962522742661,0.0,0.0,34603.47050361628,0.0,-52.29422638012315,52.29422638012315,0.0027324812108990375,0.0,0.0027324812108990375,52.29695886134141,52.29695886134141,15.090405635357579
BTC,2021-04-14,1618362300000000,0.2,oracle_liquidity,0,34655.76746247762,0.5464962522742661,0.5464962522742661,0.0,0.0,34603.47050361628,0.0,-52.29422638012315,52.29422638012315,0.0027324812108990375,0.0,0.0027324812108990375,52.29695886134141,52.29695886134141,15.090405635357579
BTC,2021-04-14,1618362300000000,0.2,full_oracle,1,34655.76746247762,0.5464962522742661,0.5464962522742661,0.0,2.7755575615628914e-17,34645.31898126913,0.0,-8.899225476379272,8.899225476379272,0.3995575658003303,1.1496981663085535,1.5492557321088838,10.448481208492012,10.448481208492012,3.014932859243345
BTC,2021-04-14,1618362300000000,0.2,full_oracle,0,34655.76746247762,0.5464962522742661,0.5464962522742661,0.0,2.7755575615628914e-17,34645.31898126913,0.0,-8.899225476379272,8.899225476379272,0.3995575658003303,1.1496981663085535,1.5492557321088838,10.448481208492012,10.448481208492012,3.014932859243345
BTC,2021-04-14,1618364100000000,0.01,reference,1,1577.277497758278,0.024940430967533938,0.024940430967533938,0.0,0.0,1580.3070950426732,0.0,3.029721986551118,-3.029721986551118,0.00012470215592162373,0.0,0.00012470215592162373,-3.029597284395095,-3.029597284395095,-19.207763305448417
BTC,2021-04-14,1618364100000000,0.01,reference,0,1577.277497758278,0.024940430967533938,0.024940430967533938,0.0,0.0,1580.3070950426732,0.0,3.029721986551118,-3.029721986551118,0.00012470215592162373,0.0,0.00012470215592162373,-3.029597284395095,-3.029597284395095,-19.207763305448417
BTC,2021-04-14,1618364100000000,0.01,oracle_price,1,1577.277497758278,0.024940430967533938,0.024940430967533938,0.0,0.0,1581.0341086053772,0.0,3.7567355492547083,-3.7567355492547083,0.0001247021556191812,0.0,0.0001247021556191812,-3.756610847099182,-3.756610847099182,-23.8170572549111
BTC,2021-04-14,1618364100000000,0.01,oracle_price,0,1577.277497758278,0.024940430967533938,0.024940430967533938,0.0,0.0,1581.0341086053772,0.0,3.7567355492547083,-3.7567355492547083,0.0001247021556191812,0.0,0.0001247021556191812,-3.756610847099182,-3.756610847099182,-23.8170572549111
BTC,2021-04-14,1618364100000000,0.01,oracle_liquidity,1,1577.277497758278,0.024940430967533938,0.024940430967533938,0.0,0.0,1579.9896033564619,0.0,2.712230300334331,-2.712230300334331,0.00012470215047765817,0.0,0.00012470215047765817,-2.7121055981838254,-2.7121055981838254,-17.194853803711986
