asset,date,arrival_us,fraction,arm,depletion,fallback,arrival_notional,quantity,filled,unfilled,max_backlog,proceeds,fee_dollars,timing_dollars,timing_shortfall_dollars,spread_dollars,depth_dollars,book_cost_dollars,filled_quantity_shortfall_dollars,shortfall_dollars,shortfall_bps,shortfall_bps_fee10
BTC,2021-04-14,1618360500000000,0.2,twap,1,0,23516.036481404295,0.3715525207207326,0.3715525207207326,0.0,0.0,23554.537426720948,0.0,38.72778619060293,-38.72778619060293,0.06440243581217135,0.16243843814299908,0.22684087395517044,-38.500945316656725,-38.500945316656725,-16.372208533994243,-6.355836325460249
BTC,2021-04-14,1618360500000000,0.2,twap,0,0,23516.036481404295,0.3715525207207326,0.3715525207207326,0.0,0.0,23554.537426720948,0.0,38.72778619060293,-38.72778619060293,0.06440243581217135,0.16243843814299908,0.22684087395517044,-38.500945316656725,-38.500945316656725,-16.372208533994243,-6.355836325460249
BTC,2021-04-14,1618362300000000,0.01,reference,1,0,1732.7883731238808,0.027324812613713306,0.027324812613713306,0.0,0.0,1732.341749061709,0.0,-0.4464874381079799,0.4464874381079799,0.0001366240638585215,0.0,0.0001366240638585215,0.4466240621718498,0.4466240621718498,2.577487644187463,12.574910156543275
BTC,2021-04-14,1618362300000000,0.01,reference,0,0,1732.7883731238808,0.027324812613713306,0.027324812613713306,0.0,0.0,1732.341749061709,0.0,-0.4464874381079799,0.4464874381079799,0.0001366240638585215,0.0,0.0001366240638585215,0.4466240621718498,0.4466240621718498,2.577487644187463,12.574910156543275
BTC,2021-04-14,1618362300000000,0.01,price,1,0,1732.7883731238808,0.027324812613713306,0.027324812613713306,0.0,0.0,1728.9853512453142,0.0,-3.7680005767222404,3.7680005767222404,0.035021301844332255,0.0,0.035021301844332255,3.8030218785665966,3.8030218785665966,21.947411106588206,31.925463695481618
BTC,2021-04-14,1618362300000000,0.01,price,0,0,1732.7883731238808,0.027324812613713306,0.027324812613713306,0.0,0.0,1728.9853512453142,0.0,-3.7680005767222404,3.7680005767222404,0.035021301844332255,0.0,0.035021301844332255,3.8030218785665966,3.8030218785665966,21.947411106588206,31.925463695481618
BTC,2021-04-14,1618362300000000,0.01,liquidity,1,0,1732.7883731238808,0.027324812613713306,0.027324812613713306,0.0,0.0,1729.3908514648656,0.0,-3.396109877049587,3.396109877049587,0.0014117819654811893,0.0,0.0014117819654811893,3.397521659015183,3.397521659015183,19.607251016407222,29.587643765390816
BTC,2021-04-14,1618362300000000,0.01,liquidity,0,0,1732.7883731238808,0.027324812613713306,0.027324812613713306,0.0,0.0,1729.3908514648656,0.0,-3.396109877049587,3.396109877049587,0.0014117819654811893,0.0,0.0014117819654811893,3.397521659015183,3.397521659015183,19.607251016407222,29.587643765390816
BTC,2021-04-14,1618362300000000,0.01,both,1,0,1732.7883731238808,0.027324812613713306,0.027324812613713306,0.0,0.0,1728.9853512453142,0.0,-3.7680005767222404,3.7680005767222404,0.035021301844332255,0.0,0.035021301844332255,3.8030218785665966,3.8030218785665966,21.947411106588206,31.925463695481618
BTC,2021-04-14,1618362300000000,0.01,both,0,0,1732.7883731238808,0.027324812613713306,0.027324812613713306,0.0,0.0,1728.9853512453142,0.0,-3.7680005767222404,3.7680005767222404,0.035021301844332255,0.0,0.035021301844332255,3.8030218785665966,3.8030218785665966,21.947411106588206,31.925463695481618
BTC,2021-04-14,1618362300000000,0.01,twap,1,0,1732.7883731238808,0.0273248126137133,0.027324812613713296,0.0,0.0,1730.3868773179017,0.0,-2.3662012565552693,2.3662012565552693,0.035294549423560743,0.0,0.035294549423560743,2.401495805978584,2.401495805978584,13.859140811576165,23.845281670764585
BTC,2021-04-14,1618362300000000,0.01,twap,0,0,1732.7883731238808,0.0273248126137133,0.027324812613713296,0.0,0.0,1730.3868773179017,0.0,-2.3662012565552693,2.3662012565552693,0.035294549423560743,0.0,0.035294549423560743,2.401495805978584,2.401495805978584,13.859140811576165,23.845281670764585
BTC,2021-04-14,1618362300000000,0.05,reference,1,0,8663.941865619405,0.13662406306856653,0.13662406306856653,0.0,0.0,8661.564736475751,0.0,-2.2324371905399,2.2324371905399,0.0006831203192926076,0.14400883279313348,0.14469195311242608,2.377129143653292,2.377129143653292,2.743703940450373,12.740960236509924
BTC,2021-04-14,1618362300000000,0.05,reference,0,0,8663.941865619405,0.13662406306856653,0.13662406306856653,0.0,0.0,8661.564736475751,0.0,-2.2324371905399,2.2324371905399,0.0006831203192926076,0.14400883279313348,0.14469195311242608,2.377129143653292,2.377129143653292,2.743703940450373,12.740960236509924
BTC,2021-04-14,1618362300000000,0.05,price,1,0,8663.941865619405,0.13662406306856653,0.13662406306856653,0.0,0.0,8644.92574133022,0.0,-18.840002883611206,18.840002883611206,0.17510650922166124,0.0010148963506253494,0.1761214055722866,19.016124289184518,19.016124289184518,21.94858250912907,31.926633926619942
BTC,2021-04-14,1618362300000000,0.05,price,0,0,8663.941865619405,0.13662406306856653,0.13662406306856653,0.0,0.0,8644.92574133022,0.0,-18.840002883611206,18.840002883611206,0.17510650922166124,0.0010148963506253494,0.1761214055722866,19.016124289184518,19.016124289184518,21.94858250912907,31.926633926619942
BTC,2021-04-14,1618362300000000,0.05,liquidity,1,0,8663.941865619405,0.13662406306856653,0.13662406306856653,0.0,0.0,8646.944765153654,0.0,-16.980549385247937,16.980549385247937,0.007058909827405949,0.009492170675002853,0.0165510805024088,16.99710046575092,16.99710046575092,19.61820696558397,29.598588758618384
BTC,2021-04-14,1618362300000000,0.05,liquidity,0,0,8663.941865619405,0.13662406306856653,0.13662406306856653,0.0,0.0,8646.944765153654,0.0,-16.980549385247937,16.980549385247937,0.007058909827405949,0.009492170675002853,0.0165510805024088,16.99710046575092,16.99710046575092,19.61820696558397,29.598588758618384
